period,real_gdp_per_capita_growth,real_income_per_capita_growth,total_employment_growth,real_average_wage_growth
Baseline_2015_2019,1.2924436632740037,1.4741806221998126,1.1095550220798558,0.7200883354234163
Shock_2020_2022,1.4445785550068535,1.7600408360862614,1.3147620076682136,1.1294122609386323
Post_Shock_2023_2024,2.128592125961186,1.365990241557416,1.8167761351799672,0.45877712904366974
