Cluster,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share
Cluster_0,68743.68693239997,59558.19728325862,109000.05995895635,61712.69558298782,6.778558177772131,16.570420340545333,14.566867815900968,0.5820306730455929
Cluster_1,50513.58776232126,48187.31430167324,83771.76823035162,46512.59413100357,7.623370972156543,11.30650225476647,16.57710272949136,2.579962840178347
Cluster_2,59257.45528491224,52819.07534154727,94238.24866921444,52854.91859764607,10.711482840752696,13.57484079746636,16.335724016505754,0.9942627615839796
Cluster_3,71342.3230868508,59006.66569903045,104500.724493447,53593.293909560016,5.11616575339794,8.685519669467794,14.807901842654086,5.441552501372458
Cluster_4,81882.36819980244,68257.70423648703,127192.00085086384,71582.54074453354,7.186877248151483,15.04051143858279,17.312378742110283,1.0446752090854734
Cluster_5,58765.936886176605,50866.96727217835,94581.37299676995,54041.27742613447,6.323938794847719,14.8503972766868,12.8789125309275,1.1108103927710544
Cluster_6,50402.41422822705,45637.675111107135,85384.30714216208,46915.36186830814,13.762145864727225,11.997203963275075,14.806838952975964,1.0104513747209531
