,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share
real_gdp_per_capita,1.0,0.848453573686124,0.9110400501913916,0.8141005360509463,-0.34131895653528577,0.25148071307277686,0.07432285741240317,-0.002833582524339836
real_personal_income_per_capita_2017,0.848453573686124,1.0,0.735037286274737,0.8259512700282319,-0.3544063126565986,0.27518760078190607,0.13019517318540458,-0.03091074576147663
real_output_per_job,0.9110400501913916,0.735037286274737,1.0,0.8866601681673318,-0.3341169595024067,0.38556592434152637,0.13229294341470435,-0.09293506731672876
real_average_wages_salaries_2017,0.8141005360509463,0.8259512700282319,0.8866601681673318,1.0,-0.34307463213393463,0.6105889403495925,0.0857989282356819,-0.24164089817427375
manufacturing_share,-0.34131895653528577,-0.3544063126565986,-0.3341169595024067,-0.34307463213393463,1.0,-0.18060629718518437,0.049324334362986784,-0.3273124884422182
professional_business_share,0.25148071307277686,0.27518760078190607,0.38556592434152637,0.6105889403495925,-0.18060629718518437,1.0,-0.20543780547622226,-0.5725529771395306
healthcare_share,0.07432285741240317,0.13019517318540458,0.13229294341470435,0.0857989282356819,0.049324334362986784,-0.20543780547622226,1.0,-0.034154467503871064
natural_resources_agriculture_share,-0.002833582524339836,-0.03091074576147663,-0.09293506731672876,-0.24164089817427375,-0.3273124884422182,-0.5725529771395306,-0.034154467503871064,1.0
