Cluster,Observations,Mean_Silhouette,Median_Silhouette,Minimum_Silhouette,Mean_Distance_to_Centroid,Maximum_Distance_to_Centroid,Percent_of_Observations
Cluster_0,20,0.31543450827178887,0.32619676689770705,0.0007650818817312881,1.2354683235645958,1.8154431518310596,13.333333333333334
Cluster_1,27,0.2368595221844265,0.24307902373609241,-0.05209600431616295,1.4486001282404526,2.2897650254086734,18.0
Cluster_2,28,0.2633274139056144,0.26102973058880574,0.058140413251370135,1.211777717379512,1.7886223177717115,18.666666666666668
Cluster_3,10,0.5190356031332966,0.5750911823679382,0.06960153319152736,1.2358189601168326,2.25713300584703,6.666666666666667
Cluster_4,13,0.39667050286034067,0.420565905719331,0.22614827855667655,1.3938313604253219,2.0435015526930207,8.666666666666668
Cluster_5,24,0.3391502528241481,0.3741322796667599,0.05758865626918181,1.1760613827808064,1.8347038857991798,16.0
Cluster_6,28,0.2703896533144629,0.2539900974572518,0.026569369884821104,1.2787196778946883,2.4152527804296713,18.666666666666668
