Component,Rank,Feature,Loading,Absolute_Loading
PC1,1,real_average_wages_salaries_2017,0.4846524571432182,0.4846524571432182
PC1,2,real_output_per_job,0.4638762861892338,0.4638762861892338
PC1,3,real_gdp_per_capita,0.45492858011395954,0.45492858011395954
PC2,1,log1p_natural_resources_agriculture_share,0.6790432831600262,0.6790432831600262
PC2,2,professional_business_share,-0.5394817493414961,0.5394817493414961
PC2,3,manufacturing_share,-0.3612773563824405,0.3612773563824405
PC3,1,healthcare_share,0.7949372925941164,0.7949372925941164
PC3,2,manufacturing_share,0.47996795703223577,0.47996795703223577
PC3,3,professional_business_share,-0.25691482309828945,0.25691482309828945
PC4,1,manufacturing_share,0.6685114353602037,0.6685114353602037
PC4,2,healthcare_share,-0.5333577835243033,0.5333577835243033
PC4,3,professional_business_share,-0.3377567588201936,0.3377567588201936
