,Baseline_2015_2019,Shock_2020_2022,Post_Shock_2023_2024
real_gdp_per_capita,57106.779389995114,59553.90123422081,63289.18852243911
real_personal_income_per_capita_2017,49442.37252373265,54646.84009234481,54855.476805554325
real_output_per_job,93455.98310835155,97123.84432952559,98214.70680282972
real_average_wages_salaries_2017,51482.86337153061,55238.66786892181,54221.63742445426
manufacturing_share,8.91459196044714,8.89465987146995,8.65133569595093
professional_business_share,12.952327762006457,13.48619954145778,13.391324717077739
healthcare_share,14.988120791547935,15.369588571211587,15.505185356760654
natural_resources_agriculture_share,1.6528649002741875,1.5031036779780982,1.4857785841598423
