Number_of_Clusters,Inertia,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score,Smallest_Cluster,Largest_Cluster,Smallest_Cluster_Percent,Mean_Stability_ARI,Minimum_Stability_ARI,Stability_ARI_Std,Silhouette_Rank,Calinski_Harabasz_Rank,Davies_Bouldin_Rank,Stability_Rank,Mean_Metric_Rank
2,699.0916824909768,0.3541037205185688,85.26462512600489,1.0960020268391777,40,110,26.666666666666668,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.75
7,269.41502387663115,0.30756435855249603,73.63965454248344,1.0625589668700515,10,28,6.666666666666667,0.9575799072918443,0.9137707780095721,0.030034006569586227,3.0,2.0,3.0,3.0,2.75
8,246.13552604166523,0.31856971906406795,70.52504445685373,1.056105397619148,10,26,6.666666666666667,0.7825954765250336,0.613388142815538,0.09630709600063184,2.0,5.0,2.0,6.0,3.75
5,368.40972862789255,0.2985778944669109,72.16720899596604,1.1227876054794463,10,54,6.666666666666667,0.9733276199060984,0.8824210603569942,0.04506297484820505,6.0,3.0,6.0,2.0,4.25
6,317.92766384223194,0.2991583851037271,71.01262356332741,1.1165153517097186,10,50,6.666666666666667,0.8868886402211008,0.5662244093952322,0.1569441056372568,5.0,4.0,5.0,4.0,4.5
4,454.7071409171267,0.3000781453286143,69.2624725712811,1.055870292282285,10,72,6.666666666666667,0.735188060340125,0.45673264939630376,0.23120826591932342,4.0,7.0,1.0,7.0,4.75
3,565.6310473789978,0.2768109881898543,69.67770653995969,1.4221085070574653,34,81,22.666666666666664,0.8437094312254219,0.6663447974681429,0.12699495742631303,7.0,6.0,7.0,5.0,6.25
