Component,Eigenvalue,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,4.000990070285136,0.4967896003937379,0.4967896003937379
PC2,1.5465921181980424,0.19203518800959032,0.6888247884033282
PC3,1.1467889321765135,0.1423929590785838,0.831217747481912
PC4,0.7005753352157713,0.08698810412262496,0.9182058516045369
PC5,0.31268810427941357,0.03882543961469386,0.9570312912192308
PC6,0.24660983493971586,0.030620721171681395,0.9876520123909122
PC7,0.07860063559108557,0.009759578919226462,0.9974115913101386
PC8,0.02084624448210451,0.002588408689861311,0.9999999999999999
