Structural_Status,period,real_gdp_per_capita_growth,real_income_per_capita_growth,total_employment_growth,real_average_wage_growth
Structurally stable,Baseline_2015_2019,1.0905567626383765,1.3295129398834793,1.0212733976444233,0.6009428722321294
Structurally stable,Shock_2020_2022,1.2692926800700417,1.706875802723309,1.323178780470649,0.9750833910290636
Structurally stable,Post_Shock_2023_2024,2.186517073343628,1.319759137841057,1.8394006890332992,0.4288851957744277
Possible shock-origin persistent shift,Baseline_2015_2019,2.1052027755642055,2.067095294577482,1.5383322793719847,1.219201926862973
Possible shock-origin persistent shift,Shock_2020_2022,2.14690310638497,1.9031916419599382,1.3072740665747442,1.6416892666420775
Possible shock-origin persistent shift,Post_Shock_2023_2024,1.8109927316919245,1.4941043600400734,1.6931589434692935,0.5774507028049436
Possible post-shock shift,Baseline_2015_2019,2.053087678087268,1.924655863454128,0.7818246838680015,0.9938845401188834
Possible post-shock shift,Shock_2020_2022,2.1350925900762707,2.598284917741256,1.045482565412026,2.692074005990382
Possible post-shock shift,Post_Shock_2023_2024,2.6699887790868626,2.0622073238678595,2.024348706442736,0.586392295961885
