mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004992103576660157,0.0002500529511110783,0.0021062850952148437,7.589573052480687e-05,1,0.1,"{'poly__degree': 1, 'ridge__alpha': 0.1}",-0.08948392653410796,-0.09528560594606623,-0.0947421238567443,-0.09745176446970501,-0.1347300510532761,-0.10233869437197991,0.016405981029045422,1
0.006210756301879883,0.00016486029465200488,0.003205680847167969,0.0007557995100202145,1,0.01,"{'poly__degree': 1, 'ridge__alpha': 0.01}",-0.08957521375389665,-0.09528592603179835,-0.09685823023470012,-0.09721937790896344,-0.13300064347261017,-0.10238787828039375,0.015550137583458112,2
0.006202030181884766,0.0035150787498074384,0.0018047332763671876,0.0005235952880495753,1,0.001,"{'poly__degree': 1, 'ridge__alpha': 0.001}",-0.08958669192338804,-0.09529056283389364,-0.09708514076389696,-0.09719962067576916,-0.13282788196980685,-0.10239797963335093,0.015465268282571441,3
0.0037433624267578123,4.36839574768522e-05,0.0013933658599853515,2.063245235331556e-05,1,0.0001,"{'poly__degree': 1, 'ridge__alpha': 0.0001}",-0.08958786435342914,-0.09529107535409238,-0.09710799217839121,-0.09719768218101767,-0.1328106094694488,-0.10239904470727583,0.015456793009297904,4
0.003242969512939453,0.0003299371337828525,0.0013874530792236327,0.00021656795170580073,3,1.0,"{'poly__degree': 3, 'ridge__alpha': 1.0}",-0.09209014420843203,-0.09453978027942044,-0.08728719656416926,-0.10047604991678268,-0.13878955524171857,-0.1026365452421046,0.018569300226684692,5
0.005360841751098633,0.0015211134569743914,0.0018113136291503906,4.805785267010634e-05,1,1.0,"{'poly__degree': 1, 'ridge__alpha': 1.0}",-0.09011706837850857,-0.09799333990494678,-0.08373955383728265,-0.10164832383880053,-0.1511317252906098,-0.10492600225002965,0.02392464814127155,6
0.003244972229003906,0.00030670644924827813,0.00161590576171875,0.00039478291450622193,3,0.1,"{'poly__degree': 3, 'ridge__alpha': 0.1}",-0.08981200573171638,-0.09464555310957924,-0.09642903172698768,-0.1086976434217891,-0.13677009906318052,-0.10527086661065059,0.01693514780090284,7
0.003377056121826172,9.004380078781464e-05,0.001411771774291992,6.333980735798128e-05,5,1.0,"{'poly__degree': 5, 'ridge__alpha': 1.0}",-0.09204265768054155,-0.09504516059455137,-0.08665727812893897,-0.11499841087180113,-0.14015612317824253,-0.1057799260908151,0.019679058852294963,8
0.002745532989501953,0.0006742283779207224,0.0010531425476074218,0.00020624176730254986,3,10.0,"{'poly__degree': 3, 'ridge__alpha': 10.0}",-0.09407565250464671,-0.09599998755040799,-0.08259738541892149,-0.11350283439239323,-0.14779623296117975,-0.10679441856550984,0.022759326838864086,9
0.003197050094604492,0.00018855654656232978,0.0013850212097167968,0.00010682018704700774,5,0.1,"{'poly__degree': 5, 'ridge__alpha': 0.1}",-0.09161217723365388,-0.08975853260757967,-0.08923836892785499,-0.1410454796449788,-0.13443513345415817,-0.10921793837364509,0.023395357678108096,10
0.0037635326385498046,0.0012289645789373372,0.0013658523559570313,0.0001659662126274549,3,0.01,"{'poly__degree': 3, 'ridge__alpha': 0.01}",-0.09136839388436958,-0.09913310174551211,-0.09709925949749183,-0.12704924705260642,-0.13334367843731967,-0.10959873612345991,0.017125737439229623,11
0.004058980941772461,0.0001276908656525092,0.00173797607421875,0.00011436982728319982,3,0.001,"{'poly__degree': 3, 'ridge__alpha': 0.001}",-0.09631259981687072,-0.09742408343795611,-0.09341634102355306,-0.1337090659764869,-0.13080654923959242,-0.11033372789889184,0.017972154992544467,12
