Target,Predictors,MSE,R2,Intercept,Coef
PetalLengthCm,"SepalLengthCm, SepalWidthCm, PetalWidthCm",0.09901965315142133,0.9680117693912218,-0.26271119757417827,"[0.729138446293278, -0.6460124373727802, 1.4467934143369963]"
PetalWidthCm,"SepalLengthCm, SepalWidthCm, PetalLengthCm",0.03586865113818455,0.9378502736046809,-0.24030738911225802,"[-0.20726607375742667, 0.22282854386093023, 0.5240831147784293]"
SepalLengthCm,"SepalWidthCm, PetalLengthCm, PetalWidthCm",0.09630269942460726,0.8586117200663178,1.855997492917544,"[0.6508371593132184, 0.7091319591367289, -0.5564826601670239]"
SepalWidthCm,"SepalLengthCm, PetalLengthCm, PetalWidthCm",0.08982599510172448,0.5240071007836005,1.043089082798732,"[0.6070660099227838, -0.5860322490360858, 0.5580303427710489]"
