Quarter,target
2007-06-30,0.2625939272546063
2007-09-30,0.6668053986562894
2007-12-31,0.39453905966222447
2008-03-31,-0.1373695063228264
2008-06-30,0.2757060549291257
2008-09-30,-0.7707944117405163
2008-12-31,-0.8996341073521874
2009-03-31,-0.2542081758845738
2009-06-30,-0.4917433830267881
2009-09-30,0.6726416911446043
2009-12-31,-0.11031159288144021
2010-03-31,0.5797006027449703
2010-06-30,0.8968236256787998
2010-09-30,0.7133820324457529
2010-12-31,0.6128699766916101
2011-03-31,0.38212927203353786
2011-06-30,0.10263427984948947
2011-09-30,0.3044012187633838
2011-12-31,0.17267317126696824
2012-03-31,0.7209217190279116
2012-06-30,0.1760069601451475
2012-09-30,0.20283801812970292
2012-12-31,0.39829732881340174
2013-03-31,0.6503095359800204
2013-06-30,0.285528877352359
2013-09-30,0.4065360874629276
2013-12-31,0.8806709126418344
2014-03-31,0.36024775713132673
2014-06-30,0.9603489360053397
2014-09-30,0.9884949711757463
2014-12-31,1.1522707469808768
2015-03-31,0.7669436036152
2015-06-30,0.6884044462671657
2015-09-30,0.7040633075106495
2015-12-31,0.40682542225536356
2016-03-31,0.7549005759844407
2016-06-30,0.4963809879850789
2016-09-30,0.6954275381038322
2016-12-31,0.5156596338560027
2017-03-31,0.7687556469849754
2017-06-30,0.49618301276044274
2017-09-30,0.67771748581682
2017-12-31,1.0927197080072615
2018-03-31,0.7240724369593998
2018-06-30,0.5354627278113755
2018-09-30,0.4607156743591245
2018-12-31,0.3125509660112824
2019-03-31,0.15845783880981124
2019-06-30,0.8530587522713295
2019-09-30,1.1353180980659294
2019-12-31,0.6555866193820759
2020-03-31,-1.6861078401064766
2020-06-30,-8.653855385826603
2020-09-30,8.895335545868033
2020-12-31,1.3585546715700225
2021-03-31,2.2728733623622377
2021-06-30,3.494511019860891
2021-09-30,0.8317588843904655
2021-12-31,0.9609679275838667
2022-03-31,0.09257499900576782
2022-06-30,0.8180563986534883
2022-09-30,0.4692039734548459
2022-12-31,0.19918321805114658
2023-03-31,1.1059444787597794
2023-06-30,0.3738655503761068
2023-09-30,0.759947793772553
2023-12-31,0.7516638059201552
2024-03-31,0.4306604938662639
2024-06-30,0.9578942721832462
2024-09-30,0.9754563928309867
2024-12-31,0.9596410521822696
2025-03-31,0.15256511589434307
2025-06-30,0.6111661711265315
2025-09-30,0.8522997906240892
2025-12-31,0.47851986430214044
2026-03-31,0.13501161099853665
2026-06-30,0.780413557263615
