state_fips,state,year,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share,manufacturing_share_imputed,natural_resources_share_imputed,period
01,Alabama,2015,42563.20356752262,39494.58342650527,80749.33887660614,45138.14418375053,13.639768507252663,12.25499116561042,13.648973200588253,0.9897690362580277,False,False,Baseline_2015_2019
01,Alabama,2016,43163.21405375439,39528.53241780448,81252.75549945205,45144.68061348211,13.599706783145878,12.366431264769181,13.78155762055776,0.9068524820576973,False,False,Baseline_2015_2019
01,Alabama,2017,43733.35384575627,39968.0,81765.70328949405,45355.0,13.604110657733118,12.516605836683759,13.875173673946817,0.9293589127326818,False,False,Baseline_2015_2019
01,Alabama,2018,44365.05844381293,40338.73559876865,82011.15426099306,45625.60502096716,13.60086662843306,12.651041865800039,13.916472312496017,0.9378448989995539,False,False,Baseline_2015_2019
01,Alabama,2019,45020.54247810355,41225.82115881826,83064.76294001432,46232.594452723766,13.517997743213934,12.771046791870544,14.014440415067691,0.9518711470655499,False,False,Baseline_2015_2019
01,Alabama,2020,44312.97116886637,43446.33636128295,83499.50205542534,48713.16165077992,13.531083285973564,12.855492903891532,14.169903281311791,0.9455017822114088,False,False,Shock_2020_2022
01,Alabama,2021,46326.41842925368,45799.99852382182,84485.8126254687,48587.98184300845,13.459265241154922,13.028517867747071,13.886959473109203,0.8584924910530234,False,False,Shock_2020_2022
01,Alabama,2022,47243.02463644909,43294.16138456545,83946.12951582154,47416.69692983206,13.518421086401375,13.086705407723796,13.748419378688734,0.8524743571646443,False,False,Shock_2020_2022
01,Alabama,2023,48519.14378107995,43931.45827726763,84707.85249297864,47590.93829380838,13.53516862295469,13.051207133686773,13.988876497325109,0.83915241703741,False,False,Post_Shock_2023_2024
01,Alabama,2024,49511.26803801238,44736.55474052326,86092.50646882487,47990.34967754687,13.543644457784064,12.689951056051411,14.272769668999095,0.832132609321291,False,False,Post_Shock_2023_2024
02,Alaska,2015,72628.39593029549,58652.90540340988,116266.59331567422,59713.981697515366,4.2332843907248225,9.22814390935869,13.910956611925315,5.498958336473901,False,False,Baseline_2015_2019
02,Alaska,2016,71918.36932352431,56719.113692517305,116952.50053593851,58060.08524751361,4.160652170581836,8.922294242939671,14.596300893363367,4.6954443065324325,False,False,Baseline_2015_2019
02,Alaska,2017,72177.15250755793,56500.0,117552.18966084952,57130.0,4.102925472471254,8.861785084560559,15.131807683711228,4.339781955447389,False,False,Baseline_2015_2019
02,Alaska,2018,71138.52326795082,57590.368408686336,115396.59084912132,57726.05431150864,3.9330007038788084,8.723736911280126,15.387226779785598,4.317642442023433,False,False,Baseline_2015_2019
02,Alaska,2019,71279.36093192891,58010.30474424717,115167.52639656636,58405.324008339296,4.036206923183862,8.7702930227529,15.382381562890993,4.528336860316038,False,False,Baseline_2015_2019
02,Alaska,2020,69451.33482329248,58636.879576215855,118130.88753716154,61565.31399360924,4.0168253806795775,9.005174344129188,16.32860279259924,3.7218966543275873,True,False,Shock_2020_2022
02,Alaska,2021,70466.51873834383,59511.955419419115,116844.53834624484,60000.44049156732,3.9974438381752937,8.885284045289945,15.794786085303707,3.913221583181766,False,False,Shock_2020_2022
