state_fips,state,period,real_gdp_per_capita_growth,real_income_per_capita_growth,total_employment_growth,real_average_wage_growth
01,Alabama,Baseline_2015_2019,1.4131274288502194,1.0811009702431873,1.181048325290096,0.6018418345456911
01,Alabama,Post_Shock_2023_2024,2.372994963989583,1.6523176372830628,1.9448350581010798,0.6033638442594191
01,Alabama,Shock_2020_2022,1.650205370354885,1.7774549272461584,1.7800710478830768,0.8992623574998082
02,Alaska,Baseline_2015_2019,-0.46470250790960344,-0.2560723142529392,-0.3757298641016704,-0.5378976454786466
02,Alaska,Post_Shock_2023_2024,5.058886043503863,1.6063316812232498,2.198628562899696,0.9616826586136606
02,Alaska,Shock_2020_2022,-1.134441303106104,0.003743218562542635,0.01439995110719868,-0.16801234868498346
04,Arizona,Baseline_2015_2019,2.5413459479412257,2.6237058051270354,2.5899936349647934,1.0561191276450332
04,Arizona,Post_Shock_2023_2024,2.6419917599676213,2.075118797940856,2.4132687073809556,0.7557992677223235
04,Arizona,Shock_2020_2022,3.3750812148852707,2.802667991163658,2.6722206107929485,1.6892749355474208
05,Arkansas,Baseline_2015_2019,0.8642009170604481,0.8076455012934303,0.8057692413445283,0.7167418665812053
05,Arkansas,Post_Shock_2023_2024,2.284328830928506,1.378146527189561,1.7301018126685386,0.5199298799668739
05,Arkansas,Shock_2020_2022,2.4701105665278464,2.5947788241033054,1.62722847690819,1.454754825816947
06,California,Baseline_2015_2019,3.541300582276019,2.559115772216675,1.6546815340051646,1.738387474987596
06,California,Post_Shock_2023_2024,2.1952378955364726,2.1559427406776965,1.2775824381177303,0.8577934417031696
06,California,Shock_2020_2022,2.412406666824296,1.8753239454149009,1.053228202781046,1.4766887391212755
08,Colorado,Baseline_2015_2019,2.4509187559683845,2.5596165968331643,2.1697015263757224,1.4104003655766306
08,Colorado,Post_Shock_2023_2024,1.8985718942656438,0.2811930092182613,1.933772623690666,0.24949053691671885
08,Colorado,Shock_2020_2022,2.624046443691911,3.0508960212782377,1.8330886832887785,1.683511977419742
09,Connecticut,Baseline_2015_2019,0.6227726127124439,0.949281384492956,0.10816986967271403,-0.3067300057281258
09,Connecticut,Post_Shock_2023_2024,0.44171476476000393,1.9228878646852188,1.6289572090336435,0.2651461104191788
09,Connecticut,Shock_2020_2022,0.4434910108817247,0.2286235163148372,0.849711618682536,0.6036287476171983
10,Delaware,Baseline_2015_2019,-1.3766034613293259,1.3628014435425828,1.460376236421257,0.2092191140154076
10,Delaware,Post_Shock_2023_2024,1.1209845284029962,-0.3381652641963384,2.433560483792885,-0.463912284192447
10,Delaware,Shock_2020_2022,1.571417223676863,1.3630714017824783,2.2093426977960644,0.6709395772341198
12,Florida,Baseline_2015_2019,1.9850340118843846,2.5745156692904168,2.9370654657100426,0.9362616013241953
12,Florida,Post_Shock_2023_2024,2.256529050403233,2.342335339764956,2.5928863773376056,0.7235050387708497
12,Florida,Shock_2020_2022,3.1293397235693874,2.1484893681906496,3.7140344580181854,2.5030183052792885
13,Georgia,Baseline_2015_2019,2.4253214256534927,2.0241475270922296,2.3422190123683126,0.7568730288586345
13,Georgia,Post_Shock_2023_2024,0.7654464887048462,1.0886518933263423,1.722753012006184,0.31549513916312444
13,Georgia,Shock_2020_2022,1.7593606817403702,1.2145696768573133,2.7782961685414165,1.4341315765393843
15,Hawaii,Baseline_2015_2019,1.2766154992193246,1.4881629348323404,0.358463203046,0.8841162075019671
