state_fips,state,year,real_gdp_per_capita,real_personal_income_per_capita_2017,total_employment_jobs,real_average_wages_salaries_2017,real_gdp_per_capita_growth,real_income_per_capita_growth,total_employment_growth,real_average_wage_growth,period
01,Alabama,2015,42563.20356752262,39494.58342650527,2587641.0,45138.14418375053,,,,,Baseline_2015_2019
01,Alabama,2016,43163.21405375439,39528.53241780448,2619761.0,45144.68061348211,1.4096929646752354,0.08595860078481898,1.2412850159662758,0.014480944774697413,Baseline_2015_2019
01,Alabama,2017,43733.35384575627,39968.0,2649222.0,45355.0,1.32089281231893,1.1117730796339265,1.1245682335144336,0.46587855680848556,Baseline_2015_2019
01,Alabama,2018,44365.05844381293,40338.73559876865,2692424.0,45625.60502096716,1.4444458119645454,0.9275810617710434,1.6307429124475137,0.5966376826527675,Baseline_2015_2019
01,Alabama,2019,45020.54247810355,41225.82115881826,2712014.0,46232.594452723766,1.4774781264421666,2.1990911387829604,0.7275971392321612,1.3303701539468138,Baseline_2015_2019
01,Alabama,2020,44312.97116886637,43446.33636128295,2670980.0,48713.16165077992,-1.571663223696873,5.386224312938204,-1.5130452866393806,5.365407733266436,Shock_2020_2022
01,Alabama,2021,46326.41842925368,45799.99852382182,2769117.0,48587.98184300845,4.543697268040403,5.417400774524994,3.674194490411753,-0.2569732768915145,Shock_2020_2022
01,Alabama,2022,47243.02463644909,43294.16138456545,2857149.0,47416.69692983206,1.978582066721124,-5.471260305724723,3.1790639398768583,-2.410647383875497,Shock_2020_2022
01,Alabama,2023,48519.14378107995,43931.45827726763,2931413.0,47590.93829380838,2.7011800248841533,1.4720157922480936,2.599234411646023,0.3674683713928095,Post_Shock_2023_2024
01,Alabama,2024,49511.26803801238,44736.55474052326,2969241.0,47990.34967754687,2.044809903095013,1.832619482318032,1.2904357045561365,0.8392593171260287,Post_Shock_2023_2024
02,Alaska,2015,72628.39593029549,58652.90540340988,461707.0,59713.981697515366,,,,,Baseline_2015_2019
02,Alaska,2016,71918.36932352431,56719.113692517305,457142.0,58060.08524751361,-0.977615707570656,-3.2970092403643347,-0.9887222849122912,-2.769697151296424,Baseline_2015_2019
02,Alaska,2017,72177.15250755793,56500.0,455550.0,57130.0,0.35982904850009323,-0.3863136749723384,-0.3482506529699725,-1.6019357249452915,Baseline_2015_2019
02,Alaska,2018,71138.52326795082,57590.368408686336,454776.0,57726.05431150864,-1.4390000208145515,1.9298555905952863,-0.16990451103062743,1.0433297943438502,Baseline_2015_2019
02,Alaska,2019,71279.36093192891,58010.30474424717,454794.0,58405.324008339296,0.19797664824670047,0.72917806772963,0.003957992506209429,1.176712499983279,Baseline_2015_2019
02,Alaska,2020,69451.33482329248,58636.879576215855,430889.0,61565.31399360924,-2.5645938526050793,1.0801095335235544,-5.256225895680244,5.410448514623001,Shock_2020_2022
02,Alaska,2021,70466.51873834383,59511.955419419115,443016.0,60000.44049156732,1.4617198037076173,1.4923642757385114,2.8144139209866026,-2.541810315796267,Shock_2020_2022
02,Alaska,2022,68845.47180638417,57987.70894056142,454025.0,57976.820488288264,-2.30044986042085,-2.561244153574438,2.485011828015238,-3.3726752448816844,Shock_2020_2022
02,Alaska,2023,73754.17543496666,58388.375265013034,467104.0,58326.4319892879,7.130031213072896,0.6909504303098224,2.8806783767413746,0.6030194447628645,Post_Shock_2023_2024
02,Alaska,2024,75957.75908067076,59860.76247493536,474188.0,59096.54262661425,2.98774087393483,2.521712932136677,1.5165787490580174,1.3203458724644568,Post_Shock_2023_2024
04,Arizona,2015,46018.62292257808,41251.66785504837,3547647.0,50519.021336022306,,,,,Baseline_2015_2019
04,Arizona,2016,46959.42076858918,42050.130871182926,3644791.0,50556.56810009708,2.0443850473185643,1.9355896564963837,2.738265672993956,0.07432203372474966,Baseline_2015_2019
04,Arizona,2017,48469.23482112456,43255.0,3740747.0,51233.0,3.2151462429138133,2.865316002245244,2.6326886781711245,1.337970367299568,Baseline_2015_2019
04,Arizona,2018,49739.1410479158,44217.00964130829,3854741.0,51778.32621153532,2.620025324265618,2.22404263393432,3.0473592573889707,1.064404215125636,Baseline_2015_2019
04,Arizona,2019,50876.09185172818,45751.28457268919,3929587.0,52683.29738673301,2.285827177266908,3.469874927832195,1.9416609313051225,1.7477798944301792,Baseline_2015_2019
04,Arizona,2020,51009.60155688738,49324.988505125366,3919887.0,56392.25164309091,0.26242130694371646,7.811155393371116,-0.24684527916037924,7.0400951351460295,Shock_2020_2022
04,Arizona,2021,54503.20331722945,51720.618518655196,4085773.0,57022.49075543418,6.848910114394657,4.85682832603378,4.231907705502724,1.1175987728457404,Shock_2020_2022
04,Arizona,2022,56145.88202410698,49517.33064529908,4250495.0,55260.570432762135,3.0139122233174387,-4.259979745913922,4.031599406036501,-3.089869101349507,Shock_2020_2022
04,Arizona,2023,57385.91127596308,50848.99370532521,4404247.0,55128.7109372436,2.208584507272815,2.689286846993122,3.617272811754857,-0.23861406873997293,Post_Shock_2023_2024
04,Arizona,2024,59150.75702475139,51591.872459665465,4457506.0,56093.58058459174,3.0753990126624275,1.4609507488885898,1.2092646030070542,1.75021260418462,Post_Shock_2023_2024
05,Arkansas,2015,40917.14053888446,40609.43746651084,1610799.0,42872.23954399895,,,,,Baseline_2015_2019
05,Arkansas,2016,41280.29928115485,41036.99775423217,1629734.0,43032.62488177428,0.8875467285532013,1.0528594198674357,1.1755035854877027,0.3741006755915599,Baseline_2015_2019
05,Arkansas,2017,41422.58239035517,41403.0,1639903.0,43569.0,0.344675575705633,0.8918835826143834,0.6239668559409051,1.246438300473951,Baseline_2015_2019
05,Arkansas,2018,42163.155884084954,42005.03657803247,1658212.0,43546.38938779086,1.787849648654971,1.4540892641414116,1.1164684740499808,-0.05189610091840269,Baseline_2015_2019
05,Arkansas,2019,42347.295758013934,41934.36299416797,1663305.0,44111.76286978256,0.43673171532798705,-0.1682502614495096,0.30713804989952465,1.298324591177713,Baseline_2015_2019
05,Arkansas,2020,42594.09587118361,44637.78865658724,1639041.0,46633.32918616288,0.5828001735458388,6.446802739784685,-1.4587823640282438,5.716312730062412,Shock_2020_2022
05,Arkansas,2021,45467.137652302,48259.6113222866,1684580.0,47409.28545595453,6.745164376319357,8.11380396453596,2.7783929749164216,1.6639521203686503,Shock_2020_2022
05,Arkansas,2022,45504.58763764472,44989.40964617041,1744586.0,45979.42122977568,0.08236714971834314,-6.776270232010728,3.5620748198363916,-3.016000372980221,Shock_2020_2022
05,Arkansas,2023,46245.81739338914,45484.0624610275,1789021.0,45649.78083504539,1.628912147598971,1.0994872321006266,2.5470226174003407,-0.7169302829693303,Post_Shock_2023_2024
05,Arkansas,2024,47605.32673574326,46237.64505609059,1805358.0,46451.75163936255,2.939745514258041,1.6568058222784954,0.9131810079367364,1.756790042903078,Post_Shock_2023_2024
06,California,2015,65336.91291481735,55655.8302569014,22687175.0,64244.75678959737,,,,,Baseline_2015_2019
06,California,2016,66890.82740068788,57052.05864828943,23177961.0,64812.944289124905,2.37831023313948,2.508683070476514,2.1632750661992883,0.8844106942273333,Baseline_2015_2019
06,California,2017,69514.21476822108,58214.0,23548874.0,66460.0,3.9218940316265494,2.0366335225055154,1.6002831310312438,2.541245007367232,Baseline_2015_2019
06,California,2018,72110.888022841,59529.99350874329,24077466.0,67282.63696352551,3.735456500915557,2.2606134413427847,2.2446593412491778,1.2377926023555696,Baseline_2015_2019
06,California,2019,75088.73711549726,61572.18961342736,24224461.0,68823.47770645826,4.12954156342249,3.4305330545418844,0.6105085975409485,2.290101596000249,Baseline_2015_2019
06,California,2020,74141.59166124264,66382.2665960875,23156746.0,75458.3296691408,-1.2613682033269291,7.812093435136136,-4.407590327809563,9.640390436212943,Shock_2020_2022
06,California,2021,80482.16931520854,69756.5729047496,23932245.0,77888.04015204635,8.551984806229118,5.0831441613669925,3.348911803065935,3.2199367433111803,Shock_2020_2022
06,California,2022,80439.19457123282,64685.78223505493,24941794.0,71321.87510891665,-0.05339660242930089,-7.269265760258426,4.218363133086767,-8.430260962160297,Shock_2020_2022
06,California,2023,81773.35589116206,65346.938057511936,25260641.0,71056.98183799254,1.658596070038687,1.0221037755321571,1.2783643389886024,-0.3714053654921168,Post_Shock_2023_2024
06,California,2024,84007.30561796189,67496.7096710436,25583169.0,72539.93554125263,2.7318797210342582,3.289781705823236,1.2768005372468583,2.086992248898456,Post_Shock_2023_2024
08,Colorado,2015,60742.26144051257,53158.267634811,3574253.0,56776.8894214339,,,,,Baseline_2015_2019
08,Colorado,2016,61080.68901023965,52405.12751711409,3666709.0,56657.83547979851,0.5571533915616822,-1.416788302566352,2.5867223165231934,-0.20968732674258028,Baseline_2015_2019
08,Colorado,2017,62541.4156458412,54176.0,3760708.0,57726.0,2.3914704618945626,3.3791969732495986,2.5635794932185707,1.885290024152697,Baseline_2015_2019
08,Colorado,2018,64331.47352137198,56419.955477147196,3857981.0,58401.55535289737,2.8621959657381346,4.141973340865324,2.5865608284397545,1.1702791686542868,Baseline_2015_2019
08,Colorado,2019,66900.13611011687,58752.40404135228,3894321.0,60034.29908040851,3.9928552046791577,4.134084375784086,0.9419434673213711,2.795719596242119,Baseline_2015_2019
08,Colorado,2020,65759.86720289178,61284.02517667333,3821182.0,63805.206424765565,-1.7044343607137469,4.308966035737338,-1.8780937678224308,6.2812548861549855,Shock_2020_2022
08,Colorado,2021,69880.20022124503,65062.593202199496,3987514.0,64471.88810569435,6.265725880559647,6.16566554600988,4.35289394747489,1.044870345674509,Shock_2020_2022
08,Colorado,2022,72193.82730075315,64202.50246877724,4108115.0,63004.77271873025,3.3108478112298334,-1.321943517912505,3.024465870213877,-2.2755892995702687,Shock_2020_2022
08,Colorado,2023,74459.96779562399,64373.54372468839,4250108.0,62649.589960026526,3.138967110623314,0.2664090173032374,3.456402754061161,-0.563739449214995,Post_Shock_2023_2024
08,Colorado,2024,74950.04593803258,64564.07460892795,4267582.0,63315.38001013742,0.6581766779079734,0.2959770011332852,0.4111424933201713,1.0627205230484327,Post_Shock_2023_2024
09,Connecticut,2015,74440.17552024688,68485.95940375584,2288144.0,66787.82365821861,,,,,Baseline_2015_2019
09,Connecticut,2016,74341.71172414787,68990.07578945614,2301331.0,66341.83569645886,-0.13227238572567357,0.7360872069095192,0.576318623303429,-0.6677683705372028,Baseline_2015_2019
09,Connecticut,2017,75917.20142478967,69147.0,2300273.0,65784.0,2.119254001693971,0.22745910733996677,-0.04597339539597067,-0.8408505592326199,Baseline_2015_2019
09,Connecticut,2018,76035.83156869863,70438.55440111188,2314465.0,65247.34842119097,0.1562625356079428,1.867838664167465,0.616970246575077,-0.8157782725420004,Baseline_2015_2019
09,Connecticut,2019,76300.3193949322,71118.80809052754,2297925.0,65963.4231802767,0.3478462992735354,0.9657405595548729,-0.7146359957916792,1.0974771793993199,Baseline_2015_2019
09,Connecticut,2020,73118.2131849461,72767.61745057204,2217480.0,69872.33154695899,-4.17050182125116,2.318387223174101,-3.500766996311888,5.925872518773501,Shock_2020_2022
09,Connecticut,2021,75054.72224493558,74291.3426578588,2289367.0,69112.49629110233,2.648463324850736,2.0939605564546104,3.2418330717751687,-1.087462288768759,Shock_2020_2022
09,Connecticut,2022,77195.6668500655,71522.89268934411,2353654.0,67020.09888776888,2.8525115290455982,-3.7264772306842,2.8080687805843274,-3.0275239871531467,Shock_2020_2022
09,Connecticut,2023,77780.77420882092,72623.26180989952,2420056.0,66357.3374641453,0.7579536295629685,1.5384852026816054,2.8212303082781,-0.9888995012278912,Post_Shock_2023_2024
09,Connecticut,2024,77878.37033525298,74298.89144981175,2430624.0,67365.43264188415,0.12547589995703934,2.307290526688832,0.43668410978918715,1.5191917220662488,Post_Shock_2023_2024
10,Delaware,2015,80671.01647479243,48852.945400540884,568832.0,55157.351919904475,,,,,Baseline_2015_2019
