state_fips,state,period,PC1,PC2,PC3,PC4
01,Alabama,Baseline_2015_2019,-2.7099862466088296,-1.2758150483519508,-0.08084212539643418,0.5049478709860963
02,Alaska,Baseline_2015_2019,1.1638712808747214,3.0991168390428383,-0.6307608807960855,0.6100132529860336
04,Arizona,Baseline_2015_2019,-1.0476600770162143,-0.6401776065314096,-1.4029237576010227,-1.001402424299705
05,Arkansas,Baseline_2015_2019,-3.063426122973984,-0.5767247698510765,0.8609841808383545,-0.31363413460429895
06,California,Baseline_2015_2019,2.2412289802142387,0.5904080163467484,-0.7316357719434902,0.45344923667686027
08,Colorado,Baseline_2015_2019,0.8092910533311071,-0.17033912945469273,-1.7760369992061598,-0.15716302381035344
09,Connecticut,Baseline_2015_2019,3.195707371717527,-0.013451580887093898,1.5333470278013464,0.5199750304182902
10,Delaware,Baseline_2015_2019,1.919621650438064,-0.1443125552079994,0.5939778764911513,-0.5042354450503517
12,Florida,Baseline_2015_2019,-0.7631920640988227,-0.7333230344825112,-1.4767259114271598,-1.3714543315615568
13,Georgia,Baseline_2015_2019,-0.4656960803806287,-1.4872195360477638,-1.3617331166657018,0.18697234216542816
15,Hawaii,Baseline_2015_2019,-0.05534052328879192,0.035273227298349946,-2.0427077339451416,-0.33936482293223835
16,Idaho,Baseline_2015_2019,-3.187846079701222,0.5444697900356045,-1.0296583701953377,-0.28033206814049116
17,Illinois,Baseline_2015_2019,1.264281321182522,-1.371355438612457,-0.529321536738233,0.5002455348243995
18,Indiana,Baseline_2015_2019,-1.9867595752977412,-1.2584243979648264,1.0018286443428828,1.755855166009573
19,Iowa,Baseline_2015_2019,-1.884524437429489,0.25816354959373317,0.6474399541643414,1.6464619390608288
20,Kansas,Baseline_2015_2019,-1.3702381983019563,-0.38437862428251784,0.03437219367491777,0.5071748036313032
21,Kentucky,Baseline_2015_2019,-2.727916179474756,-0.8635677814250541,0.2843328121547259,0.41183656173922656
22,Louisiana,Baseline_2015_2019,-1.6456700071434287,0.904248160173821,-0.2292084591547578,-0.5903276593447354
23,Maine,Baseline_2015_2019,-2.261951632264248,0.169773777882043,1.1598073079293236,-1.0815317712247456
24,Maryland,Baseline_2015_2019,2.176387719560231,-1.0785629051483137,-0.9279869629611175,-0.9818774717048032
25,Massachusetts,Baseline_2015_2019,3.569275630026944,-0.41521467362248776,1.2542055415894193,-0.7348507890548652
26,Michigan,Baseline_2015_2019,-1.186672655199319,-1.6183935659943798,0.43486694892440114,0.3078696442402045
27,Minnesota,Baseline_2015_2019,0.22306747017996142,-0.17553549898449117,1.1513459722890627,0.09239672556196295
28,Mississippi,Baseline_2015_2019,-4.182428083910274,-0.3132131088035606,0.5795937371541906,-0.1501239640926913
29,Missouri,Baseline_2015_2019,-1.3550237008253245,-0.9363021030828472,0.5435603602706166,-0.8644129784222291
30,Montana,Baseline_2015_2019,-2.7863003865515155,1.6272508827466867,-0.6821913395445434,-1.0270018883378136
31,Nebraska,Baseline_2015_2019,-0.7324858329117471,0.2596138244094832,-0.0685997902168477,0.6017699450815398
32,Nevada,Baseline_2015_2019,-0.6937854607541779,-0.28144245363175807,-3.0724013935037844,0.1257224971009413
33,New Hampshire,Baseline_2015_2019,0.1794609554618966,-0.7072084673503258,0.3849173766361303,0.5687506453969827
34,New Jersey,Baseline_2015_2019,2.469492266946938,-0.9742524963986088,-0.35306345957027635,-0.5440736703689918
35,New Mexico,Baseline_2015_2019,-2.083460834626621,1.5095400802623962,-0.7173622169480628,-2.1133623776018666
36,New York,Baseline_2015_2019,4.021634172435238,0.2765725704421915,0.9063240761984366,-0.5231090957049053
37,North Carolina,Baseline_2015_2019,-1.0266516393996363,-1.2592369007882602,-0.32837513352545694,0.10087601807000972
38,North Dakota,Baseline_2015_2019,-0.19230886986468526,3.2182839416045343,-0.38587801038417574,0.8153642286610453
39,Ohio,Baseline_2015_2019,-0.9353794132058921,-1.1767932561065624,1.0568105921932778,0.03014098048874361
40,Oklahoma,Baseline_2015_2019,-2.092834636717446,0.8477808149929222,-1.1457013110389618,0.11942763628186182
41,Oregon,Baseline_2015_2019,-1.1381827372385862,0.39332927306494786,-0.5163547025669893,0.2575669815353501
42,Pennsylvania,Baseline_2015_2019,0.05251493768810042,-0.22784652884252687,1.2281039502888151,-0.7068226942042968
44,Rhode Island,Baseline_2015_2019,-0.17905203045595697,-0.8942773520440694,1.045137002217764,-1.1676358420483124
45,South Carolina,Baseline_2015_2019,-2.233891614841611,-1.6685369685888525,-0.6015044213752376,0.27021389082010117
46,South Dakota,Baseline_2015_2019,-1.9241755566799108,1.290820377718246,1.079906934583189,0.5228149450688511
47,Tennessee,Baseline_2015_2019,-1.3324935372971636,-1.6374516158447676,-0.10962522664554825,0.24214875442473882
48,Texas,Baseline_2015_2019,0.0004805153363458129,0.3721992047711835,-1.2649442862722622,0.13314301823280472
