state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,log1p_natural_resources_agriculture_share
01,Alabama,Baseline_2015_2019,-1.460914183966791,-1.655652567903559,-1.0010503113972302,-1.017439568875744,1.368678532059715,-0.29557229295941523,-0.733467675312565,-0.3274934087891131
02,Alaska,Baseline_2015_2019,1.0672506506129673,0.5805493647587239,1.3812847269755355,0.5692911920313497,-1.3556831080013687,-1.691403863421603,-0.20670037571548697,1.9952288011723969
04,Arizona,Baseline_2015_2019,-1.042537503844572,-1.244791165049165,-0.5027779313024772,-0.28639331310313176,-0.8075989120134124,0.7879940645730895,-0.7380963546243848,0.10284455829553762
05,Arkansas,Baseline_2015_2019,-1.6539984254442093,-1.490140108051845,-1.4107357457379543,-1.2762535364604939,1.2455977383603396,-0.4354105347985372,0.6613918875502137,0.14302073401629
06,California,Baseline_2015_2019,0.8834409700347989,0.6976473082720082,1.4014052351095143,1.5828795278129109,-0.3274983541753954,0.7914670369810035,-0.4636092683985184,1.0180608291140671
08,Colorado,Baseline_2015_2019,0.28254766913977114,0.2573814397304703,-0.14412405930499234,0.5333592808370898,-0.9345209354898274,1.0419468663036635,-1.256823956313395,0.3988828674709543
09,Connecticut,Baseline_2015_2019,1.3896933530315771,2.1424378047312116,1.5218948340820435,1.5454363164084652,0.21402220759278243,-0.026998148007366374,0.9501851912413742,-1.167822991368303
10,Delaware,Baseline_2015_2019,1.3978840127246401,-0.35683717508767415,1.912072285345832,0.1780737330906769,-0.8054928750295649,0.28829077516987445,0.7262906449085356,-1.1840150644564822
12,Florida,Baseline_2015_2019,-1.0113301287318917,-0.5662690325042311,-0.8527838646276484,-0.4386199810789811,-1.3022924289547357,0.8789750593702237,-0.6805870577647115,-0.3776934033610628
13,Georgia,Baseline_2015_2019,-0.38119053913513606,-1.0659456353571424,-0.09510151431419084,-0.07552390352703335,0.07120656621708696,0.8685948758371608,-1.5173688763469326,-0.6341954744432836
15,Hawaii,Baseline_2015_2019,-0.024074108590999288,-0.3602612749455665,-0.08809242923816928,-0.3376190313984544,-1.6720331661571022,-0.07284246887158417,-1.6264723517289918,-0.3252051818619886
16,Idaho,Baseline_2015_2019,-1.5651580496247086,-1.462930442191631,-1.5822103498727775,-1.4536615616496953,0.12344140830806409,-0.34037571835706015,-0.5576610339496167,1.6225304301596342
17,Illinois,Baseline_2015_2019,0.44856507912724497,0.07996893759766306,0.7563804181912139,0.7203611525472539,0.28637244054423905,1.0064809722592134,-0.9256082517534622,-0.9606745331189971
18,Indiana,Baseline_2015_2019,-0.5950552934620239,-1.0539557487074227,-0.3165153215621267,-0.8502169201821065,2.5221306480954415,-0.7920042165538039,-0.5040091321240914,-0.6121831621828521
19,Iowa,Baseline_2015_2019,-0.05940984055095551,-0.7529703072408952,-0.38384161669106104,-1.0561874327180476,1.5397309611116468,-1.6366258615674079,-0.45067171618766216,0.18183712035438712
20,Kansas,Baseline_2015_2019,-0.3043719971330584,-0.5568833081548908,-0.6796951099868418,-0.8752379646453231,0.8659487737432187,-0.09226205295024133,-0.30660275853925134,0.139752149172132
21,Kentucky,Baseline_2015_2019,-1.28802205351752,-1.5930157816077133,-1.042921587336211,-1.0792778938649112,1.2834866470934676,-0.6418157767277483,-0.3188045854349666,-0.23076011743503674
22,Louisiana,Baseline_2015_2019,-0.7513305089211635,-1.1576980048217274,-0.4850362600476632,-0.6953927246606079,-0.4737740220294645,-0.7568626337800973,0.24656569549625096,0.882159766784527
23,Maine,Baseline_2015_2019,-1.1584957192188592,-0.8980501881521638,-1.3888799423833806,-1.0644290761692048,0.15181468263319975,-0.8169549962074865,1.3933446276729449,-0.12603177904665444
24,Maryland,Baseline_2015_2019,0.4214274191391164,0.661931244600407,0.7426857024033636,0.9513778477563728,-1.369251385441063,1.4874547073948305,-0.4298203212695277,-1.2857499027418484
25,Massachusetts,Baseline_2015_2019,1.548112166317427,1.712670226867154,1.1159393633198162,1.8766628883802723,-0.536119008464962,1.1194466161414338,1.4617837976562174,-1.2588256110535776
26,Michigan,Baseline_2015_2019,-0.8573392059075734,-0.9682002494371111,-0.4296426030313174,-0.21280126348841413,1.5632616158785018,0.7372287005099313,-0.08416408522120047,-0.43668170358313946
27,Minnesota,Baseline_2015_2019,0.3368796508580454,0.1413432435844452,-0.040525808214748056,0.21368288282824605,0.6943140683453789,-0.0418073075654502,0.8899846061517921,-0.2953915271954883
28,Mississippi,Baseline_2015_2019,-2.0719327848870446,-2.09364049859102,-1.8624183269116992,-1.7018704219060992,1.1494475623506766,-1.3017305661888074,0.24479840342429454,0.19823325258058747
29,Missouri,Baseline_2015_2019,-0.7952523405350584,-1.0094376688888593,-0.8588935285233325,-0.6243173347576508,0.24457845042667364,0.21770816182402059,0.6358413222587221,-0.7555257635844033
30,Montana,Baseline_2015_2019,-1.2561767685336847,-0.9534055759502952,-1.6693221875248239,-1.4212996654606729,-1.2816465158073043,-1.6090782619464732,0.08873187864385614,1.0730709620329262
31,Nebraska,Baseline_2015_2019,0.3513811692182824,-0.3273919582902635,-0.18035029566630503,-0.8663451951365129,0.3728707806758211,-0.3812373213269199,-0.3037661654365018,0.2921267133616796
32,Nevada,Baseline_2015_2019,-0.445311759277275,-0.747085608643682,-0.3292735379307744,-0.5000182947561538,-1.461298746869268,0.18888776926169415,-2.743850525706863,0.09644935406120678
