state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,log1p_natural_resources_agriculture_share
01,Alabama,Baseline_2015_2019,43769.07447778995,40111.13452037933,81768.74297331192,45499.20485418472,13.592490063955731,12.51202338494679,13.847323444531307,0.6643048587276928
02,Alaska,Baseline_2015_2019,71828.36039225149,57494.53844977215,116267.08015162998,58207.08905297539,4.0932139321681165,8.901250634178389,14.8817347063353,1.7362525345028672
04,Arizona,Baseline_2015_2019,48412.50228238716,43305.01858804575,88984.17165914993,51354.04260687754,6.004268266732034,15.315020508827738,13.83823412176756,0.8629079381815415
05,Arkansas,Baseline_2015_2019,41626.09477049868,41397.76695858869,75836.13231054564,43426.40333666933,13.163333219035636,12.15028625001376,16.586404707859323,0.8814494400454727
06,California,Baseline_2015_2019,69788.31604441292,58404.81440547229,116558.44306348944,66324.76314974121,7.678277951373732,15.324004482539204,14.377243535277051,1.285284729572279
08,Colorado,Baseline_2015_2019,63119.19514561646,54982.35093408491,94177.79976232798,57919.31586690767,5.561717861353157,15.971952101345323,12.81961038903754,0.9995310677577034
09,Connecticut,Baseline_2015_2019,75407.04792656304,69636.07953697028,118303.23997277464,66024.88619122903,9.566446273682564,13.206777841483888,17.15350719485921,0.2764886407281189
10,Delaware,Baseline_2015_2019,75497.95341619418,50207.643370164544,123953.3576330803,55073.88820551649,6.011611574815346,14.022375279253929,16.713846190160677,0.26901591969483485
12,Florida,Baseline_2015_2019,48758.86287128132,48579.59783457166,83915.77342473906,50134.88248452701,4.279376002456348,15.550372469481928,13.951164944116588,0.6411373153707886
13,Georgia,Baseline_2015_2019,55752.57889354214,44695.29736304946,94887.6899579518,53042.863485618494,9.068478164964198,15.523520745647692,12.307979162697828,0.5227603533092506
15,Hawaii,Baseline_2015_2019,59716.09895059392,50181.02568861489,94989.18776425082,50943.78365675503,2.9901678047600804,13.088186581580525,12.093733016964254,0.665360886661493
16,Idaho,Baseline_2015_2019,42612.10544186456,41609.284802985145,73353.02703119654,42005.56957231244,9.250610074849476,12.39612474001692,14.192554384008512,1.5642504109347006
17,Illinois,Baseline_2015_2019,64961.7688219453,53603.21198350401,107217.90814123533,59416.98528203349,9.818716321424697,15.880208020965384,13.47001760897166,0.3720886687505977
18,Indiana,Baseline_2015_2019,53378.96297791624,44788.50229219983,91681.42045540872,46838.46549459668,17.61433503266276,11.227840607985652,14.297910452063563,0.5329191432260173
19,Iowa,Baseline_2015_2019,59323.91906085742,47128.25141300047,90706.47562484811,45188.8791336592,14.188913913375693,9.042951768199291,14.402648965183811,0.8993633924495373
20,Kansas,Baseline_2015_2019,56605.16310960519,48652.55897245077,86422.25304376542,46638.07577290907,11.839577115949249,13.0379515055826,14.685556716636622,0.8799409721315127
21,Kentucky,Baseline_2015_2019,45687.94845874336,40598.049651395,81162.40953483133,45003.95115874348,13.295443876114192,11.616351899376472,14.661596028178616,0.7089477464532996
22,Louisiana,Baseline_2015_2019,51644.51477583097,43982.04849380137,89241.0868902979,48078.42881813707,7.168245457935638,11.31874575168874,15.77181184098983,1.2225657237115042
